SMILES,Drug_Name,Pattern
c1ccc2c(c1)sc1ccccc12,dibenzothiophene,Pulmonary edema
CCNC(C)Cc1cccc(C(F)(F)F)c1,Fenfluramine,Pulmonary edema
CN(C)CCCn1c2c(c3ccccc31)CCCCCC2,Iprindole,Pulmonary edema
COc1ccc(OC)c(C(O)C(C)N)c1,Methoxamine,Pulmonary edema
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,Methylergonovine,Pulmonary edema
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,Moricizine,Pulmonary edema
c1ccc2c(CC3=NCCN3)cccc2c1,Naphazoline,Pulmonary edema
CC(N)C(O)c1ccc(O)c(O)c1,Nordefrin,Pulmonary edema
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,octamethylcyclotetrasiloxane,Pulmonary edema
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,octamethylcyclotetrasiloxane,ILD
NC(N)=S,Thiourea,Pulmonary edema
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,Timolol,Pulmonary edema
O=c1[nH]c(=O)n(Cl)c(=O)n1Cl,troclosene,Pulmonary edema
OCC(O)C(O)C(O)C(O)CO,Mannitol,Pulmonary edema
OCC(O)C(O)C(O)C(O)CO,Mannitol,Pulmonary embolism
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,Terbutaline,Pulmonary edema
CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,Chlorpheniramine,Pulmonary edema
O=CCC=O,Malondialdehyde,Pulmonary embolism
CC(=O)OC1(C(C)=O)CCC2C3CC(C)=C4CC(=O)CCC4(C)C3CCC21C,Medroxyprogesterone Acetate,Pulmonary embolism
CCCCCC(O)C=CC1C2CC(CO2)C1CC=CCCCC(=O)O,"15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid",Pulmonary embolism
CNC(C)C1CCC(N)C(OC2C(N)CC(N)C(OC3OCC(C)(O)C(NC)C3O)C2O)O1,Gentamicins,Pulmonary embolism
C#CC1(O)CCC2C3CC=C4CC(=O)CCC4C3CCC21C,Norethindrone,Pulmonary embolism
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,Cyclosporine,Pulmonary embolism
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,Ethinyl Estradiol,Pulmonary embolism
CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Tamoxifen,Pulmonary embolism
CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1,Diethylstilbestrol,Pulmonary embolism
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,Desogestrel,Pulmonary embolism
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,Tadalafil,Pulmonary embolism
CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,Paclitaxel,Pulmonary embolism
CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,Paclitaxel,ILD
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,Zoledronic Acid,Pulmonary embolism
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Vitamin E,Pulmonary embolism
C=C1CSC(C(NC(=O)CCCCC(N)C(=O)O)C(=O)O)N=C1C(=O)O,Cephalosporins,Pulmonary embolism
CC(=O)OC1(C(C)=O)CCC2C3=CC(Cl)=C4CC(=O)C5CC5C4(C)C3CCC21C,Cyproterone Acetate,Pulmonary embolism
