Drug_Name,SMILES,PubChem_ID,CID,CID_Source,score,status,PUG_View,Assay_Summary
oxymetazoline,Cc1cc(C(C)(C)C)c(O)c(C)c1CC1=NCCN1,,4636.0,Drug_Name,80,ok,80,0
methaphenilene,CN(C)CCN(Cc1cccs1)c1ccccc1,,10306.0,Drug_Name,2,ok,2,0
ifosfamide,O=P1(NCCCl)OCCCN1CCCl,,3690.0,Drug_Name,242,ok,242,0
cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,,2907.0,Drug_Name,179,ok,179,0
oxolinic acid,CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,,4628.0,Drug_Name,19,ok,19,0
flumequine,CC1CCc2cc(F)cc3c(=O)c(C(=O)O)cn1c23,,3374.0,Drug_Name,127,ok,127,0
benznidazole,O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1,,31593.0,Drug_Name,9,ok,9,0
etoxadrol,CCC1(c2ccccc2)OCC(C2CCCCN2)O1,,14208380.0,Drug_Name,0,ok,0,0
hexylcaine,CC(CNC1CCCCC1)OC(=O)c1ccccc1,,10770.0,Drug_Name,0,ok,0,0
ethoheptazine,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1,,6469.0,Drug_Name,38,ok,38,0
bufuralol,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,,71733.0,Drug_Name,0,ok,0,0
alphaprodine,CCC(=O)OC1(c2ccccc2)CCN(C)CC1C,,120738.0,Drug_Name,41,ok,41,0
setiptiline,CN1CCC2=C(C1)c1ccccc1Cc1ccccc12,,5205.0,Drug_Name,0,ok,0,0
phenindamine,CN1CCC2=C(C1)C(c1ccccc1)c1ccccc12,,11291.0,Drug_Name,7,ok,7,0
methapyrilene,CN(C)CCN(Cc1cccs1)c1ccccn1,,4098.0,Drug_Name,36,ok,36,0
amixetrine,CC(C)CCOC(CN1CCCC1)c1ccccc1,,71911.0,Drug_Name,0,ok,0,0
tolfenamic acid,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,,610479.0,Drug_Name,3,ok,3,0
cicletanine,Cc1ncc2c(c1O)COC2c1ccc(Cl)cc1,,54910.0,Drug_Name,1,ok,1,0
etoglucid,C(COCCOCC1CO1)OCCOCC1CO1,,16058.0,Drug_Name,3,ok,3,0
reposal,CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O,,19254.0,Drug_Name,0,ok,0,0
methohexital,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,,9034.0,Drug_Name,49,ok,49,0
benzylsulfamide,NS(=O)(=O)c1ccc(NCc2ccccc2)cc1,,2755709.0,Drug_Name,0,ok,0,0
fencibutirol,CCC(C(=O)O)C1(O)CCC(c2ccccc2)CC1,,71170.0,Drug_Name,0,ok,0,0
homosalate,CC1CC(OC(=O)c2ccccc2O)CC(C)(C)C1,,8362.0,Drug_Name,3,ok,3,0
mepindolol,Cc1cc2c(OCC(O)CNC(C)C)cccc2[nH]1,,71698.0,Drug_Name,0,ok,0,0
cibenzoline,c1ccc(C2(c3ccccc3)CC2C2=NCCN2)cc1,,2747.0,Drug_Name,1,ok,1,0
clonixin,Cc1c(Cl)cccc1Nc1ncccc1C(=O)O,,28718.0,Drug_Name,3,ok,3,0
gemcitabine,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,,60750.0,Drug_Name,65,ok,65,0
miloxacin,COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,,37614.0,Drug_Name,0,ok,0,0
hydroxypethidine,CCOC(=O)C1(c2cccc(O)c2)CCN(C)CC1,,61120.0,Drug_Name,0,ok,0,0
melperone,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,,15387.0,Drug_Name,6,ok,6,0
tramadol,COc1cccc(C2(O)CCCCC2CN(C)C)c1,,33741.0,Drug_Name,266,ok,266,0
butetamate,CCC(C(=O)OCCN(CC)CC)c1ccccc1,,27368.0,Drug_Name,0,ok,0,0
protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21,,4976.0,Drug_Name,101,ok,101,0
dimethylthiambutene,CC(C=C(c1cccs1)c1cccs1)N(C)C,,10668.0,Drug_Name,0,ok,0,0
clopirac,Cc1cc(CC(=O)O)c(C)n1-c1ccc(Cl)cc1,,39299.0,Drug_Name,1,ok,1,0
ticlopidine,Clc1ccccc1CN1CCc2sccc2C1,,5472.0,Drug_Name,9,ok,9,0
iprazochrome,CC(C)N1CC(O)c2cc(N=NC(N)=O)c(O)cc21,,65594.0,Drug_Name,0,ok,0,0
sulfaperin,Cc1cnc(NS(=O)(=O)c2ccc(N)cc2)nc1,,68933.0,Drug_Name,0,ok,0,0
sulfamerazine,Cc1ccnc(NS(=O)(=O)c2ccc(N)cc2)n1,,5325.0,Drug_Name,3,ok,3,0
propacetamol,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,,68865.0,Drug_Name,0,ok,0,0
