Drug_Name,PubChem_ID
"Cement (bone cement, kyphoplasty, vertebroplasty)",NOT_FOUND
Cemiplimab,NOT_FOUND
Cephalosporin(s),NOT_FOUND
Certolizumab,128919
Cetacaine,131750190
"Charcoal, activated (aspirated)",NOT_FOUND
Checkpoint inhibitors,NOT_FOUND
Chemical abortion,NOT_FOUND
Chemical weapons,NOT_FOUND
Chemicals,NOT_FOUND
Chemoradiotherapy (antineoplastic),NOT_FOUND
Chemotherapy against breast cancer (see under specific drugs),NOT_FOUND
"Chemotherapy, antineoplastic",NOT_FOUND
"Chemotheray (Hyperthermic, intraperitoneal)",NOT_FOUND
Chlorates,104770
Chlorhexidine-coated catheter(ization),NOT_FOUND
Chlorine gas (dichlorine: Cl2),NOT_FOUND
Chlorozotocin (DCNU),NOT_FOUND
Chlorpropamide,2727
Cibenzoline,2747
"Cidofovir, nebulized",NOT_FOUND
Cinnabar,62402
"Cinnamon (dry, inhaled: the 'cinnamon challenge')",NOT_FOUND
Cisplatin (endobronchial/intratumoral),NOT_FOUND
Citrate anticoagulant,NOT_FOUND
Citric acid (in dialysis machine fluid),NOT_FOUND
Clazosentan,6433095
Clenbuterol,2783
Clofazimine,2794
Clofibrate,2796
Clomifen,2800
Clove cigarettes,NOT_FOUND
Clove oil,NOT_FOUND
Cobalt (from arthroplasty),NOT_FOUND
Cobimertinib,NOT_FOUND
"Cocaine, levamisole-tainted",NOT_FOUND
"Cocaine, tainted",NOT_FOUND
Coils (airway coil for lung volume reduction),NOT_FOUND
"Colistin, inhaled",NOT_FOUND
Colistin-Colimycin,NOT_FOUND
Collapse therapy,NOT_FOUND
Colloids,NOT_FOUND
Colony stimulating factors,NOT_FOUND
Combination of anticoagulant and antiplatelet drugs,NOT_FOUND
Complementary & altrnative medicine,NOT_FOUND
Conestat alpha,NOT_FOUND
Contraceptive drugs or pills (oral),NOT_FOUND
Copper sulfate (blue vitriol),NOT_FOUND
"Corticosteroids, inhaled (ICS)",NOT_FOUND
"Corticosteroids, systemic (oral, parenteral)",NOT_FOUND
Cosmetic talc,26924
Cosmetic/plastic surgery,NOT_FOUND
Coumadin,54678486
Crack cocaine,446220
Craniospinal irradiation,NOT_FOUND
Creatine supplements,NOT_FOUND
Cremophor,NOT_FOUND
Cresol (methylphenol),NOT_FOUND
Crospovidone,NOT_FOUND
Crushed tablets -pills (deliberate i.v. injection of),NOT_FOUND
Cryobiopsy (transbronchial pulmonary-; TBLB TBLCB),NOT_FOUND
Cryoprecipitate therapy,NOT_FOUND
Crystalloids,NOT_FOUND
Curares,NOT_FOUND
Cyanide,5975
Cyanoacrylate (N-butyl-2-cyanoacrylate-Histoacryl),NOT_FOUND
Cyberknife ablation radiation therapy,NOT_FOUND
Cyclodextrin,320760
Cyclophosphamide (i.v infusional),NOT_FOUND
Cyclopropylfentanyl,137332271
Cytosine arabinoside - Aracytine - Cytarabine - Ara-C,NOT_FOUND
DMARDs (disease-modifying antirheumatic drugs),NOT_FOUND
Dabrafenib-Trametinib combination therapy (BRAFi),NOT_FOUND
Daclatasvir,25154714
Dapsone (diaminophenylsulfone),NOT_FOUND
Darbepoetin,NOT_FOUND
Datopotamab deruxtecan,NOT_FOUND
Delphinium plant,NOT_FOUND
Demcizumab,NOT_FOUND
Dendritic cell vaccination,NOT_FOUND
Dental procedure,NOT_FOUND
Dermal fillers,NOT_FOUND
Designer drugs,NOT_FOUND
Dexfenfluramine,66265
"Diacetyl (2,3-butanedione) flavoring agent",NOT_FOUND
Diacetylmorphine,5462328
Diatrizoic acid (gastrografin),NOT_FOUND
Dibenzepin,9419
Dicoumarol,54676038
Diethylene glycol,8117
Difenacoum,54676884
Difluoroethane,6368
Digitalis,NOT_FOUND
Dihydralazine,10230
Dihydroergocristine,107715
Dihydroergocryptine,114948
Dihydropyridine,407038
Dimethylaminoethanol,7902
Dimethylsulfoxide (DMSO),NOT_FOUND
"Dinitrophenol (2, 4-dinitrophenol or DNP)",NOT_FOUND
Dipeptidyl peptidase-4 inhibitors,NOT_FOUND
Dipyrone,522325
Diquat,6795
Disinfectants (humidifier disinfectants used in the home or occupational setting),NOT_FOUND
Distigmine,3116
Divalproate (sodium),NOT_FOUND
Docetaxel-Gemcitabine,NOT_FOUND
Dopamine agonists,NOT_FOUND
Dostarlimab,NOT_FOUND
Dovitinib,135398510
Doxorubicin (pegylated-liposomal),NOT_FOUND
Doxorubicin - Adriamycin,NOT_FOUND
"Doxorubicin, inhaled/aerosolized",NOT_FOUND
Doxylam (AH-7921),NOT_FOUND
Drug overdose,NOT_FOUND
"Drug- (e.g. everolimus, paclitaxel) eluting stents",NOT_FOUND
Drugs purchased on e-shops or on the Internet,NOT_FOUND
Dry needling,NOT_FOUND
Dual antiplatelet therapy,NOT_FOUND
Dupilumab,NOT_FOUND
Durvalumab,NOT_FOUND
Dyes,NOT_FOUND
E-cigarette - E-vaporizers - ENDS - Vaping - Dabbing,NOT_FOUND
"E-cigarette's, e-vaporizer's secondhand vapor (Passive vaping)",NOT_FOUND
E-liquid,NOT_FOUND
ECMO,NOT_FOUND
EMLA cream (lidocaine/prilocaine),NOT_FOUND
Ecromeximab,NOT_FOUND
Ecstasy (MDMA),NOT_FOUND
Electric shock,NOT_FOUND
Electroconvulsive therapy,NOT_FOUND
Electromyography,NOT_FOUND
Electrophysiologic procedures,NOT_FOUND
Elinogrel,16066663
Elosulfase A,NOT_FOUND
Elotuzumab,NOT_FOUND
Encorafenib (LGX818),50922675
Endobronchial ultrasound (EBUS) guided biopsy,NOT_FOUND
Endoscopic/endobronchial valve therapy for emphysema,NOT_FOUND
Energy drinks,NOT_FOUND
Enfortumab vedotin,NOT_FOUND
Entospletinib,59473233
Enzyme replacement therapy,NOT_FOUND
Ephedra,NOT_FOUND
Epipodophyllotoxins,NOT_FOUND
Epsom salt,24843
Eptinezumab,NOT_FOUND
ErbB2 inhibitors,NOT_FOUND
Ergometrine,443884
"Ergots, ergot alkaloids, ergolines",NOT_FOUND
Erythritol,222285
Erythropoietin (EPO),NOT_FOUND
Esatenolol,175540
Etanercept biosimilar,NOT_FOUND
Ethanol (anhydrous),NOT_FOUND
"Ethanol (ethyl alcohol, 'alcohol')",NOT_FOUND
Ethanol (i.v.),NOT_FOUND
Ethchlorvynol,5281077
Ethylene glycol,174
Ethylene glycol butyl ether,8133
Ethylene-vinyl alcohol copolymer (e.g. Onyx (R)),NOT_FOUND
Ethylphenidate,3080846
Etretinate,5282375
Eucalyptus,NOT_FOUND
"Excipients, erroneously/deliberately administered i.v.",NOT_FOUND
Excipients-Vehicle-Preservatives (of drugs),NOT_FOUND
Extubation (recent),NOT_FOUND
FOLFIRI chemotherapy regimen,NOT_FOUND
FOLFOX chemotherapy regimen,NOT_FOUND
Face lotion,NOT_FOUND
Factor IX,NOT_FOUND
Factor VIIIa,NOT_FOUND
Factor VIIa,NOT_FOUND
Fam-trastuzumab deruxtecan-nxki,NOT_FOUND
Fampridine,1727
Fanolesomab-99mTc,NOT_FOUND
Favipiravir,492405
Febarbamate,25803
Fecal microbiota transplant,NOT_FOUND
Fenbufen,3335
Fenfluramine-Phentermine (FenPhen),NOT_FOUND
Fenoterol,3343
"Fentanyl (smoked, snorted, insufflated, inhaled)",NOT_FOUND
Fentanyl (topical),NOT_FOUND
Fentanyl analogs/derivatives/substituted,NOT_FOUND
Fiberoptic bronchoscopy,NOT_FOUND
