Drug_Name,norm,PubChem_ID
Calcitonin (salmon),calcitonin (salmon),16133812
Calcitriol,calcitriol,5280453
Calfactant,calfactant,Not Available
Californium-249 oxide,californium-249 oxide,6453361
Canagliflozin,canagliflozin,24812758
Cannabidiol,cannabidiol,644019
Capromab pendetide,capromab pendetide,135509147
Carbachol,carbachol,5831
Carbidopa,carbidopa,34359
Carbinoxamine,carbinoxamine,2564
Calcium carbonate,carbonate,10112
Carbonic acid,carbonic acid,767
Carboprost tromethamine,carboprost tromethamine,5281074
Carglumic acid,carglumic acid,121396
Cariprazine,cariprazine,11154555
Carmustine,carmustine,2578
Caspofungin,caspofungin,2826718
Sodium cation,cation,923
Cefaclor,cefaclor,51039
Cefadroxil,cefadroxil,47965
Cefdinir,cefdinir,6915944
Cefditoren pivoxil,cefditoren pivoxil,16667736
Cefepime,cefepime,5479537
Cefixime,cefixime,5362065
Cefotaxime,cefotaxime,5742673
Cefoxitin,cefoxitin,441199
Cefprozil,cefprozil,5281006
Ceftaroline fosamil,ceftaroline fosamil,9852981
Ceftazidime,ceftazidime,5481173
Ceftazidime pentahydrate,ceftazidime pentahydrate,5362051
Ceftibuten dihydrate,ceftibuten,5282241
Ceftobiprole,ceftobiprole,135413542
Cenobamate,cenobamate,11962412
Cephradine,cephradine,38103
Cerivastatin,cerivastatin,446156
Certolizumab pegol,certolizumab pegol,Not Available
Cetrorelix,cetrorelix,25074887
Cetrorelix trifluoroacetate,cetrorelix trifluoroacetate,25074886
Cevimeline,cevimeline,2684
Cherry menthol,cherry menthol,Not Available
Chloral hydrate,chloral hydrate,2707
Chloramphenicol,chloramphenicol,5959
Chloramphenicol sodium succinate,chloramphenicol succinate,656833
Chloroprocaine,chloroprocaine,8612
Chlorphenamine,chlorphenamine,2725
Chlorthalidone,chlorthalidone,2732
Chlorzoxazone,chlorzoxazone,2733
Cholestyramine,cholestyramine,137699107
Cholestyramine resin,cholestyramine resin,137699107
Choline fenofibrate,choline fenofibrate,11350701
Choline magnesium trisalicylate,choline trisalicylate,54682045
Choriogonadotropin alfa,choriogonadotropin alfa,Not Available
Ciclesonide,ciclesonide,6918155
Cidofovir,cidofovir,60613
Cinacalcet hydrochloride,cinacalcet,156418
Cinoxacin,cinoxacin,2762
Cisatracurium besylate,cisatracurium besylate,62886
Citric acid,citric acid,311
Clemastine fumarate,clemastine,5281069
Clindamycin palmitate hydrochloride (pediatric),clindamycin palmitate (pediatric),16052038
Clobazam,clobazam,2789
Clobetasol,clobetasol,5311051
Clodronic acid,clodronic acid,25419
Clomiphene,clomiphene,1548953
Clomiphene citrate,clomiphene citrate,60974
Clopidogrel bisulfate,clopidogrel bisulfate,115366
Clostridium tetani toxoid immune globulin (human),clostridium tetani toxoid immune globulin (human),Not Available
Clotrimazole,clotrimazole,2812
Cloxacillin,cloxacillin,6098
Cobimetinib,cobimetinib,16222096
Coenzyme M,coenzyme m,598
Colesevelam hydrochloride,colesevelam,60208760
Colestipol,colestipol,62816
Conivaptan,conivaptan,151171
Conjugated estrogens,conjugated estrogens,45357473
Copper,copper,23978
Corticorelin ovine triflutate,corticorelin ovine triflutate,16132344
Corticotropin,corticotropin,16132265
Cosyntropin,cosyntropin,16133802
Crisaborole,crisaborole,44591583
Crofelemer,crofelemer,36511
Cromolyn,cromolyn,2882
Cyanocobalamin,cyanocobalamin,5311498
Cyclizine,cyclizine,6726
Cyclo-upup,cyclo-upup,194491
Cyclobenzaprine,cyclobenzaprine,2895
Cyclopentolate hydrochloride,cyclopentolate,22162
Cyproheptadine,cyproheptadine,2913
Cysteamine,cysteamine,6058
Cytarabine,cytarabine,6253
Cytomegalovirus immune globulin (human),cytomegalovirus immune globulin (human),Not Available
Dabigatran etexilate,dabigatran etexilate,135565674
Dacomitinib,dacomitinib,11511120
Dalbavancin,dalbavancin,16134627
Dalfampridine,dalfampridine,1727
Dapagliflozin,dapagliflozin,9887712
Dapagliflozin propanediol,dapagliflozin propanediol,24906252
Dapsone,dapsone,2955
Darbepoetin alfa,darbepoetin alfa,Not Available
Darifenacin,darifenacin,444031
Darunavir,darunavir,213039
Darunavir ethanolate,darunavir ethanolate,23725083
Daunorubicin citrate,daunorubicin citrate,9961878
Deferasirox,deferasirox,214348
Deferiprone,deferiprone,2972
Defibrotide sodium,defibrotide,135565962
Deflazacort,deflazacort,189821
Degarelix,degarelix,16136245
Delafloxacin,delafloxacin,487101
Delamanid,delamanid,6480466
Delavirdine,delavirdine,5625
Demeclocycline,demeclocycline,54680690
Denileukin diftitox,denileukin diftitox,Not Available
Deoxycholic acid,deoxycholic acid,222528
Desflurane,desflurane,42113
Desirudin,desirudin,16129703
Desloratadine,desloratadine,124087
Desonide,desonide,5311066
Desoximetasone,desoximetasone,5311067
Desvenlafaxine,desvenlafaxine,125017
Desvenlafaxine succinate,desvenlafaxine succinate,9800068
Deucravacitinib,deucravacitinib,134821691
Deutetrabenazine,deutetrabenazine,73437646
Dexchlorpheniramine,dexchlorpheniramine,33036
Dexlansoprazole,dexlansoprazole,9578005
Dexmethylphenidate hydrochloride,dexmethylphenidate,154100
Dexpanthenol,dexpanthenol,131204
Dexrazoxane,dexrazoxane,71384
Diamminedichloroplatinum,diamminedichloroplatinum,441203
Diatrizoate sodium,diatrizoate,23672589
Diatrizoate meglumine,diatrizoate meglumine,8566
Diatrizoic acid,diatrizoic acid,2140
Dibasic potassium phosphate,dibasic,24450
Dichlorphenamide,dichlorphenamide,3038
Dicloxacillin,dicloxacillin,18381
Dicyclomine,dicyclomine,3042
Dienogest,dienogest,68861
Diethylpropion,diethylpropion,7029
Digoxin immune fab (ovine),digoxin immune fab (ovine),Not Available
Dihydrogen phosphate,dihydrogen,1003
Dimenhydrinate,dimenhydrinate,10660
Dimercaprol,dimercaprol,3080
Dimethyl fumarate,dimethyl,637568
Dinoprost,dinoprost,5280363
Dinoprost tromethamine,dinoprost tromethamine,5282415
Dinoprostone,dinoprostone,5280360
Dinutuximab,dinutuximab,Not Available
Diphenoxylate hydrochloride,diphenoxylate,6432394
Dipridamole,dipridamole,3108
Diroximel fumarate,diroximel,73330464
Divalproex sodium,divalproex,23663956
Docusate,docusate,11339
Dofetilide,dofetilide,71329
Domperidone,domperidone,3151
Dopamine,dopamine,681
Doripenem,doripenem,73303
Dornase alfa,dornase alfa,Not Available
Dorzolamide,dorzolamide,5284549
Doxacurium chloride,doxacurium chloride,60168
Doxapram,doxapram,3156
Doxazosin,doxazosin,3157
Doxepin,doxepin,3158
Doxercalciferol,doxercalciferol,5281107
Doxorubicin,doxorubicin,31703
Doxycycline hyclate,doxycycline hyclate,54705095
Doxylamine,doxylamine,3162
Droxidopa,droxidopa,92974
Dyphylline,dyphylline,3182
Edaravone,edaravone,4021
Edetate calcium disodium,edetate disodium,6093170
Edetic acid,edetic acid,6049
Edoxaban tosylate,edoxaban tosylate,44610678
Edrophonium,edrophonium,3202
Edrophonium chloride,edrophonium chloride,8307
Efinaconazole,efinaconazole,489181
Elagolix,elagolix,11250647
Elazop,elazop,71306410
Eletriptan,eletriptan,77993
Eliglustat,eliglustat,23652731
Eltrombopag olamine,eltrombopag olamine,135449331
Eluxadoline,eluxadoline,11250029
Emedastine,emedastine,3219
Emedastine difumarate,emedastine difumarate,5282485
Empagliflozin,empagliflozin,11949646
Emtricitabine,emtricitabine,60877
Enalaprilat,enalaprilat,5462501
Enasidenib,enasidenib,89683805
Enflurane,enflurane,3226
Enfuvirtide,enfuvirtide,16130199
Entacapone,entacapone,5281081
Entecavir,entecavir,135398508
Enzalutamide,enzalutamide,15951529
Eovist,eovist,91754427
Epi-kal2,epi-kal2,44201343
Epinastine,epinastine,3241
Epinephrine,epinephrine,5816
Epinephrine bitartrate,epinephrine bitartrate,5815
Eplerenone,eplerenone,443872
Epoetin alfa,epoetin alfa,127893
Equilin sulfate,equilin,168708
Erdafitinib,erdafitinib,67462786
Ergocalciferol,ergocalciferol,5280793
Ergotamine tartrate,ergotamine tartrate,9787
Ertapenem,ertapenem,150610
Erythromycin lactobionate,erythromycin lactobionate,71469
Erythropoietin,erythropoietin,11751549
Escitalopram oxalate,escitalopram oxalate,146571
Esketamine,esketamine,182137
Eslicarbazepine,eslicarbazepine,9881504
Esomeprazole strontium,esomeprazole strontium,16048656
Estazolam,estazolam,3261
Esterified estrogens,esterified estrogens,Not Available
Estradiol,estradiol,5757
Estradiol cypionate,estradiol cypionate,9403
Estradiol hemihydrate,estradiol hemihydrate,154274
Estradiol valerate,estradiol valerate,13791
Estramustine,estramustine,259331
Estriol,estriol,5756
Estrofen,estrofen,3080904
Estrogens conjugated synthetic a,estrogens conjugated synthetic a,Not Available
Estrogens conjugated synthetic b,estrogens conjugated synthetic b,Not Available
Estrone,estrone,5870
Estropipate,estropipate,5284555
Eszopiclone,eszopiclone,969472
Etelcalcetide,etelcalcetide,71511839
Ethanolamine oleate,ethanolamine oleate,5282489
Ethinyl estradiol,ethinyl estradiol,5991
Ethotoin,ethotoin,3292
Etidronate disodium,etidronate disodium,23894
Etidronic acid,etidronic acid,3305
Etodolac,etodolac,3308
Etomidate,etomidate,667484
Etonogestrel,etonogestrel,6917715
Etophos,etophos,60668
Etravirine,etravirine,193962
Evolocumab,evolocumab,Not Available
Exenatide,exenatide,45588096
Extendin-4,extendin-4,16157882
Ezogabine,ezogabine,121892
Factor xiii concentrate (human),factor xiii concentrate (human),Not Available
Famciclovir,famciclovir,3324
Febuxostat,febuxostat,134018
Fedratinib,fedratinib,16722836
Felbamate,felbamate,3331
Felodipine,felodipine,3333
Fenofibric acid,fenofibric acid,64929
Fenoldopam,fenoldopam,3341
Fentanyl citrate,fentanyl citrate,13810
Ferric carboxymaltose,ferric carboxymaltose,86278165
Sodium ferric gluconate complex,ferric gluconate complex,23693558
Ferric oxyhydroxide,ferric oxyhydroxide,9793696
Ferric pyrophosphate,ferric pyrophosphate,24877
Ferrosoferric oxide,ferrosoferric oxide,14789
Ferrous cation,ferrous cation,27284
Ferumoxides,ferumoxides,6432052
Ferumoxytol,ferumoxytol,14789
Ferumoxytol non-stoichiometric magnetite,ferumoxytol non-stoichiometric magnetite,6432052
Fesoterodine,fesoterodine,6918558
Fexofenadine,fexofenadine,3348
Fibrinogen,fibrinogen,90540
Fidaxomicin,fidaxomicin,151383
Finerenone,finerenone,60150535
Flucaonazole,flucaonazole,Not Available
Fluconazole,fluconazole,3365
Flucytosine,flucytosine,3366
Flunisolide,flunisolide,82153
Flunisolide hemihydrate,flunisolide hemihydrate,82153
Flunitrazepam,flunitrazepam,3380
Fluocinolone acetonide,fluocinolone acetonide,6215
Fluocinonide,fluocinonide,9642
Sodium fluoride,fluoride,5235
Fluorometholone,fluorometholone,9878
Fluorouracil,fluorouracil,3385
Fluoxymesterone,fluoxymesterone,6446
Fluphenazine,fluphenazine,3372
Fluphenazine decanoate,fluphenazine decanoate,3388
Flurazepam,flurazepam,3393
Flutemetamol f-18,flutemetamol f-18,15950376
Fluticasone propionate,fluticasone,444036
Fluticasone furoate,fluticasone furoate,9854489
Fluvoxamine,fluvoxamine,5324346
Follitropin alfa,follitropin alfa,Not Available
Follitropin beta,follitropin beta,Not Available
Fomepizole,fomepizole,3406
Fondaparinux,fondaparinux,5282448
Formoterol,formoterol,3410
Fosamprenavir calcium,fosamprenavir,131535
Fosaprepitant,fosaprepitant,135413538
Fosaprepitant dimeglumine,fosaprepitant dimeglumine,136086851
Foscarnet,foscarnet,3415
Fosfomycin,fosfomycin,446987
Fosfomycin tromethamine,fosfomycin tromethamine,54331
Fosinoprilat,fosinoprilat,62956
Fospropofol disodium,fospropofol disodium,3038497
Fostamatinib,fostamatinib,11671467
Fragmin,fragmin,772
Frovatriptan,frovatriptan,77992
Frovatriptan succinate,frovatriptan succinate,152943
Fusidic acid,fusidic acid,3000226
Gabapentin enacarbil,gabapentin enacarbil,9883933
Gadobenate dimeglumine,gadobenate dimeglumine,105125
Gadodiamide,gadodiamide,60754
Gadodiamide hydrate,gadodiamide hydrate,153921
Gadofosveset,gadofosveset,46174086
Gadolinium,gadolinium,23982
Gadolinium cation (3+),gadolinium cation (3+),168050
Gadolinium-dtpa,gadolinium-dtpa,6857474
Gadopentetate dimeglumine,gadopentetate dimeglumine,131751658
Gadoterate meglumine,gadoterate meglumine,6918037
Gadoteridol,gadoteridol,60714
Gadoversetamide,gadoversetamide,444013
Gadoxetate disodium,gadoxetate disodium,9961939
Galantamine,galantamine,9651
Gallium cation,gallium cation,105145
Gallium nitrate,gallium nitrate,61635
Galsulfase,galsulfase,Not Available
Gamma-aminobutyric acid,gamma-aminobutyric acid,119
Ganciclovir,ganciclovir,135398740
Ganirelix,ganirelix,16130957
Gatifloxacin,gatifloxacin,5379
Gazyva,gazyva,Not Available
Gemeprost,gemeprost,5282237
Gemfibrozil,gemfibrozil,3463
Gemtuzumab ozogamicin,gemtuzumab ozogamicin,Not Available
Gentamicin,gentamicin,3467
Glimepiride,glimepiride,3476
Glipizide,glipizide,3478
Glucarpidase,glucarpidase,21195079
Glutamine,glutamine,5961
Glyburide,glyburide,3488
Glycerin,glycerin,753
Glycerol phenylbutyrate,glycerol phenylbutyrate,10482134
Glycine,glycine,750
Glycopyrronium,glycopyrronium,9933193
Gonadotrophin chorionic,gonadotrophin chorionic,Not Available
Granisetron,granisetron,5284566
Griseofulvin,griseofulvin,441140
Guaifenesin,guaifenesin,3516
Guanabenz acetate,guanabenz,5702062
Guanethidine monosulfate,guanethidine monosulfate,56927696
Guanfacine,guanfacine,3519
Guanidine,guanidine,3520
Halobetasol,halobetasol,5311167
Halofantrine hydrochloride,halofantrine,37392
Haloperidol decanoate,haloperidol decanoate,52919
Haloperidol lactate,haloperidol lactate,16051968
Halothane,halothane,3562
Hemin,hemin,26945
Heparan sulfate,heparan,Not Available
Hepatitis b immune globulin (human),hepatitis b immune globulin (human),Not Available
Hepatitis b vaccine,hepatitis b vaccine,16131310
Hepatitis b vaccine (recombinant),hepatitis b vaccine (recombinant),Not Available
Magnesium sulfate heptahydrate,heptahydrate,24843
Hetastarch,hetastarch,24846132
Hex-hgrf,hex-hgrf,44201342
Histamine,histamine,774
Histrelin,histrelin,25077993
Homatropine,homatropine,688024
Honey lemon menthol,honey lemon menthol,Not Available
Hyaluronidase,hyaluronidase,91820602
Hyaluronidase (human recombinant),hyaluronidase (human recombinant),Not Available
Hyaluronidase (ovine),hyaluronidase (ovine),Not Available
Hydrocortisone sodium succinate,hydrocortisone succinate,23694214
Hydrogen iodide,hydrogen iodide,24841
Magnesium hydroxide,hydroxide,14791
Hydroxide ion,hydroxide ion,961
Hydroxocobalamin,hydroxocobalamin,70678542
Hydroxybutanedial,hydroxybutanedial,5288169
Hydroxybutanoic acid,hydroxybutanoic acid,10413
Hydroxyprogesterone,hydroxyprogesterone,6238
Hydroxyprogesterone caproate,hydroxyprogesterone caproate,169870
Hydroxyurea,hydroxyurea,3657
Hydroxyzine,hydroxyzine,3658
Hyoscyamine,hyoscyamine,154417
Ibandronate sodium,ibandronate,23670359
Ibandronic acid,ibandronic acid,60852
Ibritumomab tiuxetan,ibritumomab tiuxetan,92002593
Ibuprofen lysine,ibuprofen lysine,9841440
Icatibant,icatibant,6918173
Icosapent,icosapent,446284
Icosapent ethyl,icosapent ethyl,9831415
Idarucizumab,idarucizumab,Not Available
Idursulfase,idursulfase,Not Available
Immune globulin,immune globulin,Not Available
Immunoglobulin (human),immunoglobulin (human),Not Available
Immunoglobulin g (human),immunoglobulin g (human),Not Available
Inamrinone,inamrinone,3698
Indacaterol,indacaterol,6918554
Ingenol mebutate,ingenol mebutate,6918670
Insulin (human),insulin (human),118984375
Insulin aspart,insulin aspart,118984445
Insulin degludec,insulin degludec,118984462
Insulin detemir,insulin detemir,16137271
Insulin glargine,insulin glargine,118984454
Insulin glulisine,insulin glulisine,16136701
Insulin lispro,insulin lispro,16132438
Interferon alfa-2a,interferon alfa-2a,Not Available
Interferon alfa-2b,interferon alfa-2b,71306834
Interferon alfacon-1,interferon alfacon-1,Not Available
Interferon beta-1a,interferon beta-1a,Not Available
Interferon beta-1b,interferon beta-1b,Not Available
Interferon gamma-1b,interferon gamma-1b,Not Available
Potassium iodide,iodide,4875
Sodium iodide i-123,iodide i-123,11954386
Sodium iodide i-131,iodide i-131,71368
Iodine,iodine,807
Iodipamide,iodipamide,3739
Iodipamide meglumine,iodipamide meglumine,636408
Ioflupane i-123,ioflupane i-123,3086674
Iopamidol,iopamidol,65492
Iopromide,iopromide,3736
Iothalamate meglumine,iothalamate meglumine,656642
Iothalamic acid,iothalamic acid,3737
Iotrolan,iotrolan,3738
Ioversol,ioversol,3741
Ioxaglate meglumine,ioxaglate meglumine,20055342
Ioxaglic acid,ioxaglic acid,3742
Ioxilan,ioxilan,3743
Ipratropium bromide,ipratropium bromide,657308
Iron,iron,23925
Iron dextran,iron dextran,105075
Iron;nitroxyl anion;pentacyanide,iron;nitroxyl anion;pentacyanide,11947681
Isavuconazole,isavuconazole,6918485
Isavuconazonium sulfate,isavuconazonium,72196309
Isoniazid,isoniazid,3767
Isosorbide,isosorbide,12597
Isosorbide mononitrate,isosorbide mononitrate,27661
Isradipine,isradipine,3784
Istradefylline,istradefylline,5311037
Ivacaftor,ivacaftor,16220172
Ivermectin,ivermectin,6321424
Ivosidenib,ivosidenib,71657455
Ixabepilone,ixabepilone,6445540
Kadain,kadain,4253
Kanamycin,kanamycin,6032
Ketoconazole,ketoconazole,3823
Ketorolac tromethamine,ketorolac tromethamine,84003
Ketotifen,ketotifen,3827
Kinetin,kinetin,3830
Lactulose,lactulose,11333
Lamisil,lamisil,1549007
Lamivudine,lamivudine,60825
Lanreotide acetate,lanreotide,71349
Lanthanum carbonate,lanthanum carbonate,168924
Larotrectinib,larotrectinib,46188928
Lasmiditan,lasmiditan,11610526
Lasofoxifene,lasofoxifene,216416
Lercanidipine,lercanidipine,65866
Lesinurad,lesinurad,53465279
Letermovir,letermovir,45138674
Leucovorin,leucovorin,135403648
Leuprolide acetate,leuprolide,657180
Leuprolide monoacetate,leuprolide monoacetate,657180
Levalbuterol tartrate,levalbuterol tartrate,10349032
Levobetaxolol hydrochloride,levobetaxolol,60656
Levobunolol,levobunolol,39468
Levobupivacaine,levobupivacaine,92253
Levocabastine hydrochloride,levocabastine,54384
Levocarnitine,levocarnitine,10917
Levocetirizine,levocetirizine,1549000
Levocetirizine dihydrochloride,levocetirizine dihydrochloride,9955977
Levodopa,levodopa,6047
Levodopa-4'-monophosphate,levodopa-4'-monophosphate,127766
Levoleucovorin,levoleucovorin,135398559
Levomefolate calcium,levomefolate,135564391
Levomilnacipran hydrochloride,levomilnacipran,6917778
Levorphanol,levorphanol,5359272
Levorphanol tartrate,levorphanol tartrate,5462348
Levothyroxine,levothyroxine,5819
Lidocaine,lidocaine,3676
Lifitegrast,lifitegrast,11965427
Linaclotide,linaclotide,16158208
Lincomycin hydrochloride,lincomycin,64710
Liothyronine,liothyronine,5920
Liraglutide,liraglutide,16134956
Lisdexamfetamine,lisdexamfetamine,11597698
Lisdexamfetamine dimesylate,lisdexamfetamine dimesylate,11597697
Lithium carbonate,lithium carbonate,11125
Lithium cation,lithium cation,28486
Lithium hydroxide,lithium hydroxide,3939
Lixisenatide,lixisenatide,90472060
Lodoxamide,lodoxamide,44564
Lodoxamide tromethamine,lodoxamide tromethamine,11192129
Lofexidine,lofexidine,30668
Lomefloxacin,lomefloxacin,3948
Lomitapide,lomitapide,9853053
Lomustine,lomustine,3950
Loperamide cation,loperamide cation,3954
Loracarbef,loracarbef,5284585
Lorcaserin hydrochloride hemihydrate,lorcaserin hemihydrate,70678853
Lormetazepam,lormetazepam,13314
Loteprednol etabonate,loteprednol etabonate,444025
Loxapine,loxapine,3964
Loxapine succinate,loxapine succinate,71399
Lumateperone,lumateperone,21302490
Lurasidone,lurasidone,213046
Lurbinectedin,lurbinectedin,57327016
Lutetium oxodotreotide lu-177,lutetium oxodotreotide lu-177,76966897
Lutropin alfa,lutropin alfa,Not Available
Lymecycline,lymecycline,54707177
Lymphazurin,lymphazurin,101316975
Lyxumia,lyxumia,90472060
Mafenide,mafenide,3998
Magnevist,magnevist,55466
Malvidin chloride,malvidin chloride,69512
Mangafodipir trisodium,mangafodipir trisodium,160036
Maralixibat,maralixibat,9831643
Maraviroc,maraviroc,3002977
Maribavir,maribavir,471161
Mebendazole,mebendazole,4030
Mebeverine,mebeverine,4031
Mecasermin,mecasermin,Not Available
Mechlorethamine,mechlorethamine,4033
Meclizine,meclizine,4034
Medronic acid,medronic acid,16124
Melatonin,melatonin,896
Memantine,memantine,4054
Menotropins,menotropins,Not Available
Mepact,mepact,23663962
